URL;PERIODO DE REFERENCIA;FECHA ACTUALIZACION;PROYECCION;OBSERVACIONES
https://ceh.cedex.es/Descargas/ERH_Entregamayo2019B/Aportacion_acumulada_40_50.rar;40_50;04/06/2019;proyección UTMETRS89 zona30;
https://ceh.cedex.es/Descargas/ERH_Entregamayo2019B/Aportacion_acumulada_50_60.rar;50_60;04/06/2019;proyección UTMETRS89 zona30;
https://ceh.cedex.es/Descargas/ERH_Entregamayo2019B/Aportacion_acumulada_60_70.rar;60_70;04/06/2019;proyección UTMETRS89 zona30;
https://ceh.cedex.es/Descargas/ERH_Entregamayo2019B/Aportacion_acumulada_70_80.rar;70_80;04/06/2019;proyección UTMETRS89 zona30;
https://ceh.cedex.es/Descargas/ERH_Entregamayo2019B/Aportacion_acumulada_80_90.rar;80_90;04/06/2019;proyección UTMETRS89 zona30;
https://ceh.cedex.es/Descargas/ERH_Entregamayo2019B/Aportacion_acumulada_90_00.rar;90_00;04/06/2019;proyección UTMETRS89 zona30;
https://ceh.cedex.es/Descargas/ERH_Entregamayo2019B/Aportacion_acumulada_00_10.rar;00_10;04/06/2019;proyección UTMETRS89 zona30;
https://ceh.cedex.es/Descargas/ERH_Entregamayo2019B/Aportacion_acumulada_2010_20.rar;10_20;20/10/2023;proyección UTMETRS89 zona30;
https://ceh.cedex.es/Descargas/ERH_Entregamayo2019B/Aportacion_acumulada_2020_30.rar;20_30;30/05/2024;proyección UTMETRS89 zona30;
https://ceh.cedex.es/Descargas/ERH_EntregaCANabril2020/Aportacion_total_hm3.rar ;40_18;24/04/2020;proyección REGCAN95 zona28;"(contiene los mapas desde 1940_10 hasta 2018_09; años hidrológicos 1940 - 2017): total 936 mapas ascii"
https://ceh.cedex.es/Descargas/ERH_Entregamayo2019B/Descargas/ERH_EntregaCANabril2020/Aportacion_acumulada_2018_20.rar ;18_20;20/10/2023;proyección REGCAN95 zona28;(mapas de 2018_10 a 2020_09): total 48 mapas ascii
https://ceh.cedex.es/Descargas/ERH_Entregamayo2019B/Descargas/ERH_EntregaCANabril2020/Aportacion_acumulada_2020_30.rar ;18_20;28/06/2024;proyección REGCAN95 zona28;(mapas de 2020_10 a 2030_09): total 48 mapas ascii
